"_id","corrected_question","intermediary_question","sparql_query","sparql_template_id"
"22","¿Qué novelas escribió Gaston Leroux?","¿Cuál es la <novela> cuyo <autor> es <Gaston Leroux>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_gaston_leroux> . ?uri a <http://novelas-populares.org/Novela> }","301"
"23","¿Cuál es el país de nacimiento de Luigi Motta?","¿Cuál es el <país de nacimiento> de <Luigi Motta>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_luigi_motta> <http://novelas-populares.org/paisDeNacimiento> ?uri }","2"
"24","¿Qué novelas publicó la Editorial Mundo Latino?","¿Cuál es la <novela> cuya <editorial> es <Mundo Latino>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_mundo_latino> . ?uri a <http://novelas-populares.org/Novela> }","301"
"25","¿En qué ciudad nació Alexandre Dumas?","¿Cuál es el <lugar de nacimiento> de <Alexandre Dumas>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_alexandre_dumas> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"26","¿Quién fundó la Compañía Anónima Calpe?","¿Cuál es el <fundador> de <Compañía Anónima Calpe>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/editorial_compania_anonima_calpe> <http://novelas-populares.org/fundadaPor> ?uri }","2"
"27","¿En qué ciudad nació Emile Gaboriau?","¿Cuál es el <lugar de nacimiento> de <Emile Gaboriau>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_emile_gaboriau> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"28","¿Qué novelas publicó la Editorial Lux?","¿Cuál es la <novela> cuya <editorial> es <Editorial Lux>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_editorial_lux> . ?uri a <http://novelas-populares.org/Novela> }","301"
"29","¿En qué ciudad nació Eugène Sue?","¿Cuál es el <lugar de nacimiento> de <Eugène Sue>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_eugene_sue> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"30","¿Cuál es el idioma del ejemplar de El pirata?","¿Cuál es el <idioma del ejemplar> de <El pirata>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1814796657> <http://novelas-populares.org/tieneIdiomaEjemplar> ?uri }","2"
"31","¿Qué novelas escribió Xavier de Montépin?","¿Cuál es la <novela> cuyo <autor> es <Xavier de Montépin>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_xavier_de_montepin> . ?uri a <http://novelas-populares.org/Novela> }","301"
"32","¿En qué ciudad nació Honoré de Balzac?","¿Cuál es el <lugar de nacimiento> de <Honoré de Balzac>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_honore_balzac> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"33","¿Cuál es el país de nacimiento de James Fenimore Cooper?","¿Cuál es el <país de nacimiento> de <James Fenimore Cooper>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_james_fenimore_cooper> <http://novelas-populares.org/paisDeNacimiento> ?uri }","2"
"34","¿Quién fundó la editorial Luis Tasso?","¿Cuál es el <fundador> de <Luis Tasso>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/editorial_luis_tasso> <http://novelas-populares.org/fundadaPor> ?uri }","2"
"35","¿Cuál es el idioma original de El Conde de Léicester?","¿Cuál es el <idioma original> de <El Conde de Léicester>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1814864393> <http://novelas-populares.org/tieneIdiomaOriginal> ?uri }","2"
"36","¿En qué país nació Paul Kock?","¿Cuál es el <país de nacimiento> de <Paul Kock>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_paul_kock> <http://novelas-populares.org/paisDeNacimiento> ?uri }","2"
"37","¿Qué novelas están publicadas en Madrid y escritas originalmente en italiano?","¿Cuál es la <novela> cuya <ciudad de publicación> es <Madrid> y cuyo <idioma original> es <Italiano>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_madrid> . ?uri <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_italiano> . ?uri a <http://novelas-populares.org/Novela> }","308"
"38","¿Qué novelas publicó la Editorial Calleja con ejemplar en castellano?","¿Cuál es la <novela> cuya <editorial> es <Editorial Calleja> y cuyo <idioma del ejemplar> es <Castellano>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_editorial_calleja> . ?uri <http://novelas-populares.org/tieneIdiomaEjemplar> <http://novelas-populares.org/idioma_castellano> . ?uri a <http://novelas-populares.org/Novela> }","308"
"39","¿Qué autores nacieron en Italia y cultivaron la novela?","¿Cuál es el <autor> cuyo <país de nacimiento> es <Italia> y cuyo <género> es <novela>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_italia> . ?uri <http://novelas-populares.org/tieneGenero> <http://novelas-populares.org/genero_novela> . ?uri a <http://novelas-populares.org/Autor> }","308"
"40","¿Qué novelas de idioma original inglés publicó la Editorial Sopena en Barcelona?","¿Cuál es la <novela> cuya <editorial> es <Editorial Sopena>, cuyo <idioma original> es <Inglés> y cuya <ciudad de publicación> es <Barcelona>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_editorial_sopena> . ?uri <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_ingles> . ?uri <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_barcelona> . ?uri a <http://novelas-populares.org/Novela> }","308"
"41","¿Qué autores escribieron novelas publicadas en Barcelona con idioma original francés?","¿Cuál es el <autor> de novelas cuya <ciudad de publicación> es <Barcelona> y cuyo <idioma original> es <Francés>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_barcelona> . ?x <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_frances> . ?x <http://novelas-populares.org/tieneAutor> ?uri . ?uri a <http://novelas-populares.org/Autor> }","5"
"42","¿Qué novelas publicadas en Madrid tienen ejemplar en castellano?","¿Cuál es la <novela> cuya <ciudad de publicación> es <Madrid> y cuyo <idioma del ejemplar> es <Castellano>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_madrid> . ?uri <http://novelas-populares.org/tieneIdiomaEjemplar> <http://novelas-populares.org/idioma_castellano> . ?uri a <http://novelas-populares.org/Novela> }","308"
"43","¿Qué novelas son traducciones del italiano al castellano?","¿Cuál es la <novela> cuyo <idioma original> es <Italiano> y cuyo <idioma del ejemplar> es <Castellano>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_italiano> . ?uri <http://novelas-populares.org/tieneIdiomaEjemplar> <http://novelas-populares.org/idioma_castellano> . ?uri a <http://novelas-populares.org/Novela> }","308"
"44","¿Qué autores nacidos en Francia publicaron novelas en Madrid?","¿Cuál es el <autor> cuyo <país de nacimiento> es <Francia> y que escribió novelas con <ciudad de publicación> <Madrid>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_francia> . ?x <http://novelas-populares.org/tieneAutor> ?uri . ?x <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_madrid> . ?uri a <http://novelas-populares.org/Autor> }","305"
"45","¿Qué novelas comparten autor con Aventuras de Sherlock Holmes?","¿Cuál es la <novela> cuyo <autor> es el mismo que el de <Aventuras de Sherlock Holmes>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1814792333> <http://novelas-populares.org/tieneAutor> ?a . ?uri <http://novelas-populares.org/tieneAutor> ?a . FILTER(?uri != <http://novelas-populares.org/novela_1814792333>) . ?uri a <http://novelas-populares.org/Novela> }","3"
"46","¿Qué novelas comparten autor y editorial con Detectives rivales?","¿Cuál es la <novela> cuyo <autor> y <editorial> son los mismos que los de <Detectives rivales>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1859636071> <http://novelas-populares.org/tieneAutor> ?a . <http://novelas-populares.org/novela_1859636071> <http://novelas-populares.org/publicadaPor> ?e . ?uri <http://novelas-populares.org/tieneAutor> ?a . ?uri <http://novelas-populares.org/publicadaPor> ?e . FILTER(?uri != <http://novelas-populares.org/novela_1859636071>) }","16"
"47","¿Cuál es la ciudad de publicación y el idioma original de El proceso Lerouge?","¿Cuáles son la <ciudad de publicación> y el <idioma original> de <El proceso Lerouge>?","SELECT DISTINCT ?ciudad ?idioma WHERE { <http://novelas-populares.org/novela_1859638538> <http://novelas-populares.org/publicadaEnCiudad> ?ciudad . <http://novelas-populares.org/novela_1859638538> <http://novelas-populares.org/tieneIdiomaOriginal> ?idioma }","9"
"48","¿Qué autores escribieron novelas originales en catalán publicadas en Barcelona?","¿Cuál es el <autor> de novelas cuyo <idioma original> es <Catalán> y cuya <ciudad de publicación> es <Barcelona>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_catalan> . ?x <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_barcelona> . ?x <http://novelas-populares.org/tieneAutor> ?uri . ?uri a <http://novelas-populares.org/Autor> }","5"
"49","¿Cuáles son las novelas de autores italianos publicadas en Barcelona?","¿Cuál es la <novela> cuya <ciudad de publicación> es <Barcelona> y cuyo <autor> nació en <Italia>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_barcelona> . ?uri <http://novelas-populares.org/tieneAutor> ?a . ?a <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_italia> . ?uri a <http://novelas-populares.org/Novela> }","3"
"50","¿Qué editoriales publicaron novelas de idioma original húngaro?","¿Cuál es la <editorial> que publicó novelas cuyo <idioma original> es <Húngaro>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_hungaro> . ?x <http://novelas-populares.org/publicadaPor> ?uri . ?uri a <http://novelas-populares.org/Editorial> }","6"
"51","¿Qué autores nacidos en Gran Bretaña cultivaron el misterio?","¿Cuál es el <autor> cuyo <país de nacimiento> es <Gran Bretaña> y cuyo <género> es <misterio>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_gran_bretana> . ?uri <http://novelas-populares.org/tieneGenero> <http://novelas-populares.org/genero_misterio> . ?uri a <http://novelas-populares.org/Autor> }","308"
"52","¿Qué novelas de idioma original inglés se publicaron en Madrid?","¿Cuál es la <novela> cuyo <idioma original> es <Inglés> y cuya <ciudad de publicación> es <Madrid>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_ingles> . ?uri <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_madrid> . ?uri a <http://novelas-populares.org/Novela> }","308"
"53","¿Qué editoriales publicaron novelas de Jules Verne?","¿Cuál es la <editorial> de novelas cuyo <autor> es <Jules Verne>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_jules_verne> . ?x <http://novelas-populares.org/publicadaPor> ?uri . ?uri a <http://novelas-populares.org/Editorial> }","6"
"54","¿En qué ciudades se publicaron las novelas de Emilio Salgari?","¿Cuál es la <ciudad de publicación> de novelas cuyo <autor> es <Emilio Salgari>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_emilio_salgari> . ?x <http://novelas-populares.org/publicadaEnCiudad> ?uri }","6"
"55","¿Cuál es el fundador de la editorial que publicó El proceso Lerouge?","¿Cuál es el <fundador> de la <editorial> de <El proceso Lerouge>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1859638538> <http://novelas-populares.org/publicadaPor> ?e . ?e <http://novelas-populares.org/fundadaPor> ?uri }","9"
"56","¿Qué novelas escribió un autor polaco y publicó la Editorial Sopena?","¿Cuál es la <novela> cuyo <autor> nació en <Polonia> y cuya <editorial> es <Editorial Sopena>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_editorial_sopena> . ?uri <http://novelas-populares.org/tieneAutor> ?a . ?a <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_polonia> . ?uri a <http://novelas-populares.org/Novela> }","3"
"57","¿Qué autores franceses cultivaron la ciencia ficción?","¿Cuál es el <autor> cuyo <país de nacimiento> es <Francia> y cuyo <género> es <ciencia ficción>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_francia> . ?uri <http://novelas-populares.org/tieneGenero> <http://novelas-populares.org/genero_ciencia_ficcion> . ?uri a <http://novelas-populares.org/Autor> }","308"
"58","¿En qué países se ubican las ciudades de publicación de novelas en alemán?","¿Cuál es el <país> de la <ciudad de publicación> de novelas cuyo <idioma original> es <Alemán>?","SELECT DISTINCT ?uri WHERE { ?nov <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_aleman> . ?nov <http://novelas-populares.org/publicadaEnCiudad> ?c . ?c <http://novelas-populares.org/ubicadaEn> ?uri }","3"
"59","¿Qué editoriales publicaron novelas tanto de Emilio Salgari como de Luigi Motta?","¿Cuál es la <editorial> que publicó novelas de <Emilio Salgari> y también de <Luigi Motta>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_emilio_salgari> . ?x <http://novelas-populares.org/publicadaPor> ?uri . ?y <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_luigi_motta> . ?y <http://novelas-populares.org/publicadaPor> ?uri . ?uri a <http://novelas-populares.org/Editorial> }","15"
"60","¿Qué idiomas originales tienen las novelas de la Editorial Renacimiento?","¿Cuál es el <idioma original> de novelas cuya <editorial> es <Renacimiento>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_renacimiento> . ?x <http://novelas-populares.org/tieneIdiomaOriginal> ?uri }","6"
"61","¿Cuál es el fundador y ciudad de publicación de novelas de la Editorial Calleja?","¿Cuál es el <fundador> de <Editorial Calleja> y la <ciudad de publicación> de sus novelas?","SELECT DISTINCT ?fundador ?ciudad WHERE { <http://novelas-populares.org/editorial_editorial_calleja> <http://novelas-populares.org/fundadaPor> ?fundador . ?x <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_editorial_calleja> . ?x <http://novelas-populares.org/publicadaEnCiudad> ?ciudad }","9"
"62","¿Cuál es el idioma original de El Conde de Monte-Cristo?","¿Cuál es el <idioma original> de <El Conde de Monte-Cristo>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1747437387> <http://novelas-populares.org/tieneIdiomaOriginal> ?uri }","2"
"63","¿Qué ciudades de publicación comparten novelas de Emilio Salgari y de Luigi Motta?","¿Cuál es la <ciudad de publicación> de novelas de <Emilio Salgari> y también de <Luigi Motta>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_emilio_salgari> . ?x <http://novelas-populares.org/publicadaEnCiudad> ?uri . ?y <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_luigi_motta> . ?y <http://novelas-populares.org/publicadaEnCiudad> ?uri }","15"
"64","¿Qué autores tienen novelas publicadas tanto en Barcelona como en Madrid?","¿Cuál es el <autor> de novelas con <ciudad de publicación> <Barcelona> y también con <ciudad de publicación> <Madrid>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> ?uri . ?x <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_barcelona> . ?y <http://novelas-populares.org/tieneAutor> ?uri . ?y <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_madrid> . ?uri a <http://novelas-populares.org/Autor> }","15"
"65","¿Qué idiomas originales tienen las novelas de autores italianos publicadas en Barcelona?","¿Cuál es el <idioma original> de novelas con <ciudad de publicación> <Barcelona> y <autor> nacido en <Italia>?","SELECT DISTINCT ?uri WHERE { ?nov <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_barcelona> . ?nov <http://novelas-populares.org/tieneAutor> ?a . ?a <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_italia> . ?nov <http://novelas-populares.org/tieneIdiomaOriginal> ?uri }","3"
"66","¿Qué novelas de la Casa Editorial Maucci tienen idioma original inglés?","¿Cuál es la <novela> cuya <editorial> es <Casa Editorial Maucci> y cuyo <idioma original> es <Inglés>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_casa_editorial_maucci> . ?uri <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_ingles> . ?uri a <http://novelas-populares.org/Novela> }","308"
"67","¿Qué editores nacieron fuera de España?","¿Cuál es el <editor> cuyo <país de nacimiento> no es <España>?","SELECT DISTINCT ?uri WHERE { ?uri a <http://novelas-populares.org/Editor> . ?uri <http://novelas-populares.org/paisDeNacimiento> ?p . FILTER(?p != <http://novelas-populares.org/pais_espana>) }","301"
"68","¿Qué novelas de autores británicos tiene la colección?","¿Cuál es la <novela> cuyo <autor> nació en <Gran Bretaña>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/tieneAutor> ?a . ?a <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_gran_bretana> . ?uri a <http://novelas-populares.org/Novela> }","3"
"69","¿Qué ciudades de publicación tienen las novelas de Alexandre Dumas?","¿Cuál es la <ciudad de publicación> de novelas cuyo <autor> es <Alexandre Dumas>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_alexandre_dumas> . ?x <http://novelas-populares.org/publicadaEnCiudad> ?uri }","6"
"70","¿Qué autores nacidos en Alemania están en la colección?","¿Cuál es el <autor> cuyo <país de nacimiento> es <Alemania>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_alemania> . ?uri a <http://novelas-populares.org/Autor> }","301"
"71","¿Qué novelas de Valencia son originales en castellano?","¿Cuál es la <novela> cuya <ciudad de publicación> es <Valencia> y cuyo <idioma original> es <Castellano>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_valencia> . ?uri <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_castellano> . ?uri a <http://novelas-populares.org/Novela> }","308"
"72","¿Qué autores de la colección tienen novelas publicadas tanto en Madrid como en Barcelona?","¿Cuál es el <autor> de novelas con <ciudad de publicación> <Madrid> y también con <ciudad de publicación> <Barcelona>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> ?uri . ?x <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_madrid> . ?y <http://novelas-populares.org/tieneAutor> ?uri . ?y <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_barcelona> . ?uri a <http://novelas-populares.org/Autor> }","15"
"73","¿Cuáles son los idiomas del ejemplar de las novelas de Wilkie Collins?","¿Cuál es el <idioma del ejemplar> de novelas cuyo <autor> es <Wilkie Collins>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_wilkie_collins> . ?x <http://novelas-populares.org/tieneIdiomaEjemplar> ?uri }","6"
"74","¿Qué autores nacidos en Noruega cultivaron la dramaturgia?","¿Cuál es el <autor> cuyo <país de nacimiento> es <Noruega> y cuyo <género> es <dramaturgia>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_noruega> . ?uri <http://novelas-populares.org/tieneGenero> <http://novelas-populares.org/genero_dramaturgia> . ?uri a <http://novelas-populares.org/Autor> }","308"
"75","¿Qué novelas de la Editorial Calleja son originales en francés?","¿Cuál es la <novela> cuya <editorial> es <Editorial Calleja> y cuyo <idioma original> es <Francés>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_editorial_calleja> . ?uri <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_frances> . ?uri a <http://novelas-populares.org/Novela> }","308"
"76","¿Qué editoriales publicaron novelas de idioma original italiano en Barcelona?","¿Cuál es la <editorial> que publicó novelas con <idioma original> <Italiano> en <Barcelona>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_italiano> . ?x <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_barcelona> . ?x <http://novelas-populares.org/publicadaPor> ?uri . ?uri a <http://novelas-populares.org/Editorial> }","6"
"77","¿Qué novelas de la Editorial Calleja tienen idioma original italiano?","¿Cuál es la <novela> cuya <editorial> es <Editorial Calleja> y cuyo <idioma original> es <Italiano>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_editorial_calleja> . ?uri <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_italiano> . ?uri a <http://novelas-populares.org/Novela> }","308"
