"_id","corrected_question","intermediary_question","sparql_query","sparql_template_id"
"15","¿Qué editorial publicó ¿Culpable??","¿Cuál es la <editorial> de <¿Culpable?>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1814694064> <http://novelas-populares.org/publicadaPor> ?uri }","2"
"16","¿Qué novelas publicó la Editorial Calleja?","¿Cuál es la <novela> cuya <editorial> es <Editorial Calleja>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_editorial_calleja> . ?uri a <http://novelas-populares.org/Novela> }","301"
"17","¿Cuál es el lugar de nacimiento de Saturnino Calleja?","¿Cuál es el <lugar de nacimiento> de <Saturnino Calleja>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/editor_saturnino_calleja> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"18","¿Quién fundó La Novela Ilustrada?","¿Cuál es el <fundador> de <La Novela Ilustrada>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/editorial_la_novela_ilustrada> <http://novelas-populares.org/fundadaPor> ?uri }","2"
"19","¿En qué país nació Arthur Conan Doyle?","¿Cuál es el <país de nacimiento> de <Arthur Conan Doyle>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_arthur_conan_doyle> <http://novelas-populares.org/paisDeNacimiento> ?uri }","2"
"20","¿Qué ciudad de publicación tiene Los misterios del Mar Indiano?","¿Cuál es la <ciudad de publicación> de <Los misterios del Mar Indiano>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1859688217> <http://novelas-populares.org/publicadaEnCiudad> ?uri }","2"
"21","¿Cuál es el idioma original de Los abandonados del Galveston?","¿Cuál es el <idioma original> de <Los abandonados del Galveston>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1859687938> <http://novelas-populares.org/tieneIdiomaOriginal> ?uri }","2"
"22","¿Qué novelas escribió Arthur Conan Doyle?","¿Cuál es la <novela> cuyo <autor> es <Arthur Conan Doyle>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_arthur_conan_doyle> . ?uri a <http://novelas-populares.org/Novela> }","301"
"23","¿Cuál es el país de nacimiento de Gaston Leroux?","¿Cuál es el <país de nacimiento> de <Gaston Leroux>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_gaston_leroux> <http://novelas-populares.org/paisDeNacimiento> ?uri }","2"
"24","¿Qué novelas publicó la Casa Editorial Seguí?","¿Cuál es la <novela> cuya <editorial> es <Casa Editorial Seguí>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_casa_editorial_segui> . ?uri a <http://novelas-populares.org/Novela> }","301"
"25","¿En qué ciudad nació Michel Zévaco?","¿Cuál es el <lugar de nacimiento> de <Michel Zévaco>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_michel_zevaco> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"26","¿Quién fundó la Editorial Sopena?","¿Cuál es el <fundador> de <Editorial Sopena>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/editorial_editorial_sopena> <http://novelas-populares.org/fundadaPor> ?uri }","2"
"27","¿En qué ciudad nació Paul Féval?","¿Cuál es el <lugar de nacimiento> de <Paul Féval>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_paul_feval> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"28","¿Qué novelas publicó la Casa Editorial Maucci?","¿Cuál es la <novela> cuya <editorial> es <Casa Editorial Maucci>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_casa_editorial_maucci> . ?uri a <http://novelas-populares.org/Novela> }","301"
"29","¿En qué ciudad nació Sven Elvestad?","¿Cuál es el <lugar de nacimiento> de <Sven Elvestad>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_sven_elvestad> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"30","¿Cuál es el idioma del ejemplar de ¿Rapto ó secuestro??","¿Cuál es el <idioma del ejemplar> de <¿Rapto ó secuestro?>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1814792805> <http://novelas-populares.org/tieneIdiomaEjemplar> ?uri }","2"
"31","¿Qué novelas escribió Emilio Salgari?","¿Cuál es la <novela> cuyo <autor> es <Emilio Salgari>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_emilio_salgari> . ?uri a <http://novelas-populares.org/Novela> }","301"
"32","¿En qué ciudad nació Curt Johannes Braun?","¿Cuál es el <lugar de nacimiento> de <Curt Johannes Braun>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_curt_johannes_braun> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"33","¿Cuál es el país de nacimiento de Walter Scott?","¿Cuál es el <país de nacimiento> de <Walter Scott>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_walter_scott> <http://novelas-populares.org/paisDeNacimiento> ?uri }","2"
"34","¿Quién fundó la Editorial Antonio Bosch?","¿Cuál es el <fundador> de <Editorial Antonio Bosch>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/editorial_editorial_antonio_bosch> <http://novelas-populares.org/fundadaPor> ?uri }","2"
"35","¿Cuál es el idioma original de A través del Atlántico en globo?","¿Cuál es el <idioma original> de <A través del Atlántico en globo>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1859671837> <http://novelas-populares.org/tieneIdiomaOriginal> ?uri }","2"
"36","¿En qué país nació Hugh Conway?","¿Cuál es el <país de nacimiento> de <Hugh Conway>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_hugh_conway> <http://novelas-populares.org/paisDeNacimiento> ?uri }","2"
"37","¿Qué novelas están publicadas en Barcelona y escritas originalmente en italiano?","¿Cuál es la <novela> cuya <ciudad de publicación> es <Barcelona> y cuyo <idioma original> es <Italiano>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_barcelona> . ?uri <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_italiano> . ?uri a <http://novelas-populares.org/Novela> }","308"
"38","¿Qué novelas publicó la Editorial Sopena con ejemplar en castellano?","¿Cuál es la <novela> cuya <editorial> es <Editorial Sopena> y cuyo <idioma del ejemplar> es <Castellano>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_editorial_sopena> . ?uri <http://novelas-populares.org/tieneIdiomaEjemplar> <http://novelas-populares.org/idioma_castellano> . ?uri a <http://novelas-populares.org/Novela> }","308"
"39","¿Qué autores nacieron en Francia y cultivaron la novela de misterio?","¿Cuál es el <autor> cuyo <país de nacimiento> es <Francia> y cuyo <género> es <novela de misterio>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_francia> . ?uri <http://novelas-populares.org/tieneGenero> <http://novelas-populares.org/genero_novela_de_misterio> . ?uri a <http://novelas-populares.org/Autor> }","308"
"40","¿Qué novelas publicó la Casa Editorial Maucci en Barcelona?","¿Cuál es la <novela> cuya <editorial> es <Casa Editorial Maucci> y cuya <ciudad de publicación> es <Barcelona>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_casa_editorial_maucci> . ?uri <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_barcelona> . ?uri a <http://novelas-populares.org/Novela> }","308"
"41","¿Qué autores escribieron novelas publicadas en Madrid con ejemplar en castellano?","¿Cuál es el <autor> de novelas cuya <ciudad de publicación> es <Madrid> y cuyo <idioma del ejemplar> es <Castellano>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_madrid> . ?x <http://novelas-populares.org/tieneIdiomaEjemplar> <http://novelas-populares.org/idioma_castellano> . ?x <http://novelas-populares.org/tieneAutor> ?uri . ?uri a <http://novelas-populares.org/Autor> }","5"
"42","¿Qué novelas publicadas en Barcelona tienen ejemplar en catalán?","¿Cuál es la <novela> cuya <ciudad de publicación> es <Barcelona> y cuyo <idioma del ejemplar> es <Catalán>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_barcelona> . ?uri <http://novelas-populares.org/tieneIdiomaEjemplar> <http://novelas-populares.org/idioma_catalan> . ?uri a <http://novelas-populares.org/Novela> }","308"
"43","¿Qué novelas son traducciones del inglés al castellano?","¿Cuál es la <novela> cuyo <idioma original> es <Inglés> y cuyo <idioma del ejemplar> es <Castellano>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_ingles> . ?uri <http://novelas-populares.org/tieneIdiomaEjemplar> <http://novelas-populares.org/idioma_castellano> . ?uri a <http://novelas-populares.org/Novela> }","308"
"44","¿Qué autores nacidos en Gran Bretaña publicaron novelas en Barcelona?","¿Cuál es el <autor> cuyo <país de nacimiento> es <Gran Bretaña> y que escribió novelas con <ciudad de publicación> <Barcelona>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_gran_bretana> . ?x <http://novelas-populares.org/tieneAutor> ?uri . ?x <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_barcelona> . ?uri a <http://novelas-populares.org/Autor> }","305"
"45","¿Qué novelas comparten autor con Los abandonados del Galveston?","¿Cuál es la <novela> cuyo <autor> es el mismo que el de <Los abandonados del Galveston>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1859687938> <http://novelas-populares.org/tieneAutor> ?a . ?uri <http://novelas-populares.org/tieneAutor> ?a . FILTER(?uri != <http://novelas-populares.org/novela_1859687938>) }","3"
"46","¿Qué novelas comparten autor con Los misterios del Mar Indiano?","¿Cuál es la <novela> cuyo <autor> es el mismo que el de <Los misterios del Mar Indiano>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1859688217> <http://novelas-populares.org/tieneAutor> ?a . ?uri <http://novelas-populares.org/tieneAutor> ?a . FILTER(?uri != <http://novelas-populares.org/novela_1859688217>) ?uri a <http://novelas-populares.org/Novela> }","3"
"47","¿Cuál es la ciudad de publicación y la editorial de Los misterios del Mar Indiano?","¿Cuáles son la <ciudad de publicación> y la <editorial> de <Los misterios del Mar Indiano>?","SELECT DISTINCT ?ciudad ?editorial WHERE { <http://novelas-populares.org/novela_1859688217> <http://novelas-populares.org/publicadaEnCiudad> ?ciudad . <http://novelas-populares.org/novela_1859688217> <http://novelas-populares.org/publicadaPor> ?editorial }","9"
"48","¿Qué autores escribieron novelas originales en catalán (no traducidas)?","¿Cuál es el <autor> de novelas cuyo <idioma del ejemplar> es <Catalán> y cuyo <idioma original> es <Catalán>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneIdiomaEjemplar> <http://novelas-populares.org/idioma_catalan> . ?x <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_catalan> . ?x <http://novelas-populares.org/tieneAutor> ?uri . ?uri a <http://novelas-populares.org/Autor> }","5"
"49","¿Cuáles son las novelas de autores franceses publicadas en Madrid?","¿Cuál es la <novela> cuya <ciudad de publicación> es <Madrid> y cuyo <autor> nació en <Francia>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_madrid> . ?uri <http://novelas-populares.org/tieneAutor> ?a . ?a <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_francia> . ?uri a <http://novelas-populares.org/Novela> }","3"
"50","¿Qué editoriales publicaron novelas de idioma original alemán?","¿Cuál es la <editorial> que publicó novelas cuyo <idioma original> es <Alemán>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_aleman> . ?x <http://novelas-populares.org/publicadaPor> ?uri . ?uri a <http://novelas-populares.org/Editorial> }","6"
"51","¿Qué autores nacidos en España cultivaron el periodismo?","¿Cuál es el <autor> cuyo <país de nacimiento> es <España> y cuyo <género> es <periodismo>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_espana> . ?uri <http://novelas-populares.org/tieneGenero> <http://novelas-populares.org/genero_periodismo> . ?uri a <http://novelas-populares.org/Autor> }","308"
"52","¿Qué novelas de idioma original francés se publicaron en Barcelona?","¿Cuál es la <novela> cuyo <idioma original> es <Francés> y cuya <ciudad de publicación> es <Barcelona>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_frances> . ?uri <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_barcelona> . ?uri a <http://novelas-populares.org/Novela> }","308"
"53","¿Qué editoriales publicaron novelas de Wilkie Collins?","¿Cuál es la <editorial> de novelas cuyo <autor> es <Wilkie Collins>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_wilkie_collins> . ?x <http://novelas-populares.org/publicadaPor> ?uri . ?uri a <http://novelas-populares.org/Editorial> }","6"
"54","¿En qué países se ubican las ciudades de nacimiento de los autores de novelas publicadas en Madrid?","¿Cuál es el <país> de la <ciudad de nacimiento> del <autor> de novelas con <ciudad de publicación> <Madrid>?","SELECT DISTINCT ?uri WHERE { ?nov <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_madrid> . ?nov <http://novelas-populares.org/tieneAutor> ?a . ?a <http://novelas-populares.org/lugarDeNacimiento> ?c . ?c <http://novelas-populares.org/ubicadaEn> ?uri }","3"
"55","¿Qué novelas escribió un autor italiano y publicó la Casa Editorial Maucci?","¿Cuál es la <novela> cuyo <autor> nació en <Italia> y cuya <editorial> es <Casa Editorial Maucci>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_casa_editorial_maucci> . ?uri <http://novelas-populares.org/tieneAutor> ?a . ?a <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_italia> . ?uri a <http://novelas-populares.org/Novela> }","3"
"56","¿Qué autores británicos cultivaron la ciencia ficción?","¿Cuál es el <autor> cuyo <país de nacimiento> es <Gran Bretaña> y cuyo <género> es <ciencia ficción>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_gran_bretana> . ?uri <http://novelas-populares.org/tieneGenero> <http://novelas-populares.org/genero_ciencia_ficcion> . ?uri a <http://novelas-populares.org/Autor> }","308"
"57","¿En qué países se ubican las ciudades de publicación de novelas en catalán?","¿Cuál es el <país> de la <ciudad de publicación> de novelas cuyo <idioma del ejemplar> es <Catalán>?","SELECT DISTINCT ?uri WHERE { ?nov <http://novelas-populares.org/tieneIdiomaEjemplar> <http://novelas-populares.org/idioma_catalan> . ?nov <http://novelas-populares.org/publicadaEnCiudad> ?c . ?c <http://novelas-populares.org/ubicadaEn> ?uri }","3"
"58","¿Qué editoriales publicaron novelas tanto de Jules Verne como de Arthur Conan Doyle?","¿Cuál es la <editorial> que publicó novelas de <Jules Verne> y también de <Arthur Conan Doyle>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_jules_verne> . ?x <http://novelas-populares.org/publicadaPor> ?uri . ?y <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_arthur_conan_doyle> . ?y <http://novelas-populares.org/publicadaPor> ?uri . ?uri a <http://novelas-populares.org/Editorial> }","15"
"59","¿Qué idiomas originales tienen las novelas de la Editorial Calleja?","¿Cuál es el <idioma original> de novelas cuya <editorial> es <Editorial Calleja>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_editorial_calleja> . ?x <http://novelas-populares.org/tieneIdiomaOriginal> ?uri }","6"
"60","¿Quién fundó la editorial que publicó ¡Sola en el mundo!?","¿Cuál es el <fundador> de la <editorial> de <¡Sola en el mundo!>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1682489914> <http://novelas-populares.org/publicadaPor> ?e . ?e <http://novelas-populares.org/fundadaPor> ?uri }","9"
"61","¿Cuáles son los géneros de los autores que escribieron novelas en húngaro?","¿Cuál es el <género> del <autor> de novelas cuyo <idioma original> es <Húngaro>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_hungaro> . ?x <http://novelas-populares.org/tieneAutor> ?a . ?a <http://novelas-populares.org/tieneGenero> ?uri }","3"
"62","¿Qué ciudades de publicación comparten novelas de Jules Verne y de Michel Zévaco?","¿Cuál es la <ciudad de publicación> de novelas de <Jules Verne> y también de <Michel Zévaco>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_jules_verne> . ?x <http://novelas-populares.org/publicadaEnCiudad> ?uri . ?y <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_michel_zevaco> . ?y <http://novelas-populares.org/publicadaEnCiudad> ?uri }","15"
"63","¿Qué autores tienen novelas en francés original y también en castellano original?","¿Cuál es el <autor> cuyas novelas tienen <idioma original> <Francés> y también <idioma original> <Castellano>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> ?uri . ?x <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_frances> . ?y <http://novelas-populares.org/tieneAutor> ?uri . ?y <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_castellano> . ?uri a <http://novelas-populares.org/Autor> }","15"
"64","¿Qué idiomas originales tienen las novelas de autores franceses publicadas en Madrid?","¿Cuál es el <idioma original> de novelas con <ciudad de publicación> <Madrid> y <autor> nacido en <Francia>?","SELECT DISTINCT ?uri WHERE { ?nov <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_madrid> . ?nov <http://novelas-populares.org/tieneAutor> ?a . ?a <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_francia> . ?nov <http://novelas-populares.org/tieneIdiomaOriginal> ?uri }","3"
"65","¿Qué novelas de la Editorial Sopena fueron traducidas desde el inglés?","¿Cuál es la <novela> cuya <editorial> es <Editorial Sopena> y cuyo <idioma original> es <Inglés>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_editorial_sopena> . ?uri <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_ingles> . ?uri a <http://novelas-populares.org/Novela> }","308"
"66","¿Qué editores nacieron en España?","¿Cuál es el <editor> cuyo <país de nacimiento> es <España>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_espana> . ?uri a <http://novelas-populares.org/Editor> }","301"
"67","¿Qué novelas tradujeron autores noruegos?","¿Cuál es la <novela> cuyo <autor> nació en <Noruega>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/tieneAutor> ?a . ?a <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_noruega> . ?uri a <http://novelas-populares.org/Novela> }","3"
"68","¿Qué editoriales publicaron novelas de Emilio Salgari?","¿Cuál es la <editorial> de novelas cuyo <autor> es <Emilio Salgari>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_emilio_salgari> . ?x <http://novelas-populares.org/publicadaPor> ?uri . ?uri a <http://novelas-populares.org/Editorial> }","6"
"69","¿Qué ciudades de publicación tienen las novelas de Gaston Leroux?","¿Cuál es la <ciudad de publicación> de novelas cuyo <autor> es <Gaston Leroux>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_gaston_leroux> . ?x <http://novelas-populares.org/publicadaEnCiudad> ?uri }","6"
"70","¿Qué autores nacidos en Italia escribieron para la Casa Editorial Maucci?","¿Cuál es el <autor> cuyo <país de nacimiento> es <Italia> y que tiene novelas con <editorial> <Casa Editorial Maucci>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_italia> . ?x <http://novelas-populares.org/tieneAutor> ?uri . ?x <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_casa_editorial_maucci> . ?uri a <http://novelas-populares.org/Autor> }","305"
"71","¿Qué novelas de Madrid son originales en francés?","¿Cuál es la <novela> cuya <ciudad de publicación> es <Madrid> y cuyo <idioma original> es <Francés>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_madrid> . ?uri <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_frances> . ?uri a <http://novelas-populares.org/Novela> }","308"
"72","¿Qué autores de la colección tienen novelas publicadas tanto en Barcelona como en Madrid?","¿Cuál es el <autor> de novelas con <ciudad de publicación> <Barcelona> y también con <ciudad de publicación> <Madrid>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> ?uri . ?x <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_barcelona> . ?y <http://novelas-populares.org/tieneAutor> ?uri . ?y <http://novelas-populares.org/publicadaEnCiudad> <http://novelas-populares.org/ciudad_madrid> . ?uri a <http://novelas-populares.org/Autor> }","15"
"73","¿Cuáles son los idiomas originales de las novelas de Arthur Conan Doyle?","¿Cuál es el <idioma original> de novelas cuyo <autor> es <Arthur Conan Doyle>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_arthur_conan_doyle> . ?x <http://novelas-populares.org/tieneIdiomaOriginal> ?uri }","6"
"74","¿Qué autores nacidos en Francia cultivaron el género de poesía?","¿Cuál es el <autor> cuyo <país de nacimiento> es <Francia> y cuyo <género> es <poesía>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/paisDeNacimiento> <http://novelas-populares.org/pais_francia> . ?uri <http://novelas-populares.org/tieneGenero> <http://novelas-populares.org/genero_poesia> . ?uri a <http://novelas-populares.org/Autor> }","308"
"75","¿Qué novelas son traducciones del francés al castellano?","¿Cuál es la <novela> cuyo <idioma original> es <Francés> y cuyo <idioma del ejemplar> es <Castellano>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_frances> . ?uri <http://novelas-populares.org/tieneIdiomaEjemplar> <http://novelas-populares.org/idioma_castellano> . ?uri a <http://novelas-populares.org/Novela> }","308"
"76","¿Qué editoriales publicaron novelas de idioma original inglés?","¿Cuál es la <editorial> que publicó novelas cuyo <idioma original> es <Inglés>?","SELECT DISTINCT ?uri WHERE { ?x <http://novelas-populares.org/tieneIdiomaOriginal> <http://novelas-populares.org/idioma_ingles> . ?x <http://novelas-populares.org/publicadaPor> ?uri . ?uri a <http://novelas-populares.org/Editorial> }","6"
